country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,57364,2529.0,52005.0,2830.0,1124.0,1448,64.0,371724.0,9385.0,39607351
Albania,Europe,128518,2321.0,98269.0,27928.0,18.0,44697,807.0,585329.0,203569.0,2875341
Algeria,Africa,118645,3134.0,82704.0,32807.0,14.0,2668,70.0,230861.0,5192.0,44465491
Andorra,Europe,12581,121.0,11890.0,570.0,12.0,162625,1564.0,193595.0,2502456.0,77362
Angola,Africa,23549,554.0,22093.0,902.0,15.0,700,16.0,443086.0,13165.0,33655110
Anguilla,North America,25,,22.0,3.0,,1655,,14579.0,965049.0,15107
Antigua And Barbuda,North America,1198,30.0,938.0,230.0,45.0,12155,304.0,16493.0,167338.0,98561
Argentina,South America,2551999,57957.0,2247124.0,246918.0,3819.0,56065,1273.0,9655684.0,212125.0,45518759
Armenia,Asia,203327,3753.0,182836.0,16738.0,,68516,1265.0,906177.0,305360.0,2967568
Aruba,North America,10076,92.0,9468.0,516.0,14.0,94063,859.0,136656.0,1275728.0,107120
Australia,Australia/Oceania,29426,910.0,26361.0,2155.0,,1144,35.0,16161532.0,628118.0,25730082
Austria,Europe,578950,9706.0,538609.0,30635.0,611.0,63997,1073.0,26848583.0,2967852.0,9046471
Azerbaijan,Asia,287144,3944.0,251760.0,31440.0,,28123,386.0,3026132.0,296379.0,10210354
Bahamas,North America,9460,190.0,8865.0,405.0,4.0,23879,480.0,80573.0,203380.0,396170
Bahrain,Asia,157729,562.0,145953.0,11214.0,85.0,90279,322.0,3798472.0,2174112.0,1747137
Bangladesh,Asia,691957,9822.0,581113.0,101022.0,,4169,59.0,5037833.0,30354.0,165966798
Barbados,North America,3734,44.0,3613.0,77.0,,12981,153.0,146355.0,508795.0,287650
Belarus,Europe,336881,2363.0,327087.0,7431.0,,35661,250.0,5563117.0,588883.0,9446894
Belgium,Europe,927229,23503.0,59873.0,843853.0,899.0,79734,2021.0,11723475.0,1008126.0,11628975
Belize,North America,12503,318.0,12134.0,51.0,1.0,31007,789.0,106371.0,263798.0,403229
Benin,Africa,7515,93.0,6452.0,970.0,35.0,608,8.0,548484.0,44344.0,12368739
Bermuda,North America,1891,16.0,998.0,877.0,36.0,30452,258.0,217688.0,3505556.0,62098
Bhutan,Asia,921,1.0,875.0,45.0,,1183,1.0,652722.0,838737.0,778220
Bolivia,South America,283084,12469.0,232422.0,38193.0,71.0,23997,1057.0,999531.0,84729.0,11796807
Bosnia And Herzegovina,Europe,184698,7487.0,141602.0,35609.0,,56572,2293.0,846536.0,259289.0,3264840
Botswana,Africa,43444,663.0,38923.0,3858.0,1.0,18189,278.0,958802.0,401435.0,2388438
Brazil,South America,13521409,355031.0,11957068.0,1209310.0,8318.0,63262,1661.0,28600000.0,133809.0,213737070
British Virgin Islands,North America,178,1.0,159.0,18.0,,5858,33.0,13223.0,435139.0,30388
Brunei Darussalam,Asia,219,3.0,206.0,10.0,,497,7.0,116596.0,264545.0,440741
Bulgaria,Europe,375115,14619.0,289356.0,71140.0,776.0,54306,2116.0,2287726.0,331196.0,6907472
Burkina Faso,Africa,12989,153.0,12627.0,209.0,,608,7.0,175352.0,8215.0,21346254
Burundi,Africa,3154,6.0,773.0,2375.0,,259,,90019.0,7400.0,12164194
Cabo Verde,Africa,19110,184.0,17399.0,1527.0,23.0,34083,328.0,136977.0,244302.0,560687
Cambodia,Asia,4696,33.0,2252.0,2411.0,,278,2.0,782811.0,46323.0,16898828
Cameroon,Africa,61731,919.0,56926.0,3886.0,385.0,2282,34.0,1257949.0,46492.0,27057111
Canada,North America,1071016,23356.0,972525.0,75135.0,928.0,28185,615.0,29142269.0,766904.0,37999909
Caribbean Netherlands,North America,1519,14.0,1396.0,109.0,,57510,530.0,10011.0,379018.0,26413
Cayman Islands,North America,516,2.0,487.0,27.0,,7780,30.0,84802.0,1278641.0,66322
Central African Republic,Africa,5491,74.0,5056.0,361.0,2.0,1122,15.0,40907.0,8357.0,4894947
Chad,Africa,4641,167.0,4298.0,176.0,,276,10.0,110863.0,6603.0,16789929
Channel Islands,Europe,4051,86.0,3956.0,9.0,1.0,23134,491.0,399901.0,2283700.0,175111
Chile,South America,1082920,24483.0,1012904.0,45533.0,3203.0,56273,1272.0,11971224.0,622075.0,19244023
China Hong Kong Sar,Asia,11595,207.0,11214.0,174.0,7.0,1537,27.0,11193673.0,1483712.0,7544369
China Macao Sar,Asia,49,,48.0,1.0,,75,,4418.0,6733.0,656216
China,Asia,90435,4636.0,85506.0,293.0,4.0,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2552937,66156.0,2395733.0,91048.0,3079.0,49760,1289.0,13367485.0,260549.0,51305017
Comoros,Africa,3789,146.0,3577.0,66.0,,4286,165.0,,,883955
Congo,Africa,10084,137.0,8208.0,1739.0,,1793,24.0,92500.0,16450.0,5623185
Costa Rica,North America,222544,3018.0,194760.0,24766.0,199.0,43378,588.0,842015.0,164124.0,5130346
Cote D Ivoire,Africa,45227,268.0,44683.0,276.0,,1682,10.0,557294.0,20730.0,26883682
Croatia,Europe,292938,6333.0,274761.0,11844.0,191.0,71703,1550.0,1642311.0,401991.0,4085445
Cuba,North America,87385,467.0,81900.0,5018.0,58.0,7719,41.0,3235144.0,285759.0,11321213
Curacao,North America,11385,68.0,6845.0,4472.0,22.0,69161,413.0,85247.0,517851.0,164617
Cyprus,Asia,52033,273.0,39061.0,12699.0,56.0,42853,225.0,4001418.0,3295494.0,1214209
Czech Republic,Europe,1581184,27918.0,1466296.0,86970.0,1157.0,147437,2603.0,14397254.0,1342465.0,10724495
Democratic Republic Of The Congo,Africa,28542,745.0,25841.0,1956.0,,311,8.0,143197.0,1562.0,91662959
Denmark,Europe,238306,2443.0,227244.0,8619.0,40.0,41030,421.0,29457120.0,5071713.0,5808121
Djibouti,Africa,9975,100.0,8184.0,1691.0,,9983,100.0,140642.0,140760.0,999165
Dominica,North America,165,,159.0,6.0,,2288,,13500.0,187172.0,72126
Dominican Republic,North America,258039,3392.0,216780.0,37867.0,151.0,23603,310.0,1348754.0,123370.0,10932601
Ecuador,South America,347070,17298.0,290314.0,39458.0,593.0,19442,969.0,1195370.0,66963.0,17851195
